COS_ID,Galaxy,MatchRank,SubhaloID,GroupID,dlogMstar,dlogMHI,dist
1,J0159+1346,1,618120,548,0.0014185191453748303,0.007362308946849083,0.006386229217982368
1,J0159+1346,2,630870,637,0.00017386650140771565,0.01721104495697645,0.014197910239291518
1,J0159+1346,3,634707,665,0.016062049623595698,0.027570191792818832,0.03190998500055319
1,J0159+1346,4,507293,156,0.0178322106586144,0.02657687273895526,0.03313910258629645
1,J0159+1346,5,614326,526,0.015834980894528172,0.035072107873645564,0.036385190440539075
1,J0159+1346,6,646733,763,0.002519487115790753,0.05853178101714995,0.04840513283829126
1,J0159+1346,7,619381,555,0.012201051383282646,0.05583278343188347,0.049090724477502956
1,J0159+1346,8,621043,565,0.008477330286767781,0.06082469954146674,0.051541295061959
1,J0159+1346,9,600363,448,0.01613252846793145,0.09475942326603182,0.08132830814257921
1,J0159+1346,10,627572,615,0.02712630181901332,0.09426643605742946,0.08645625331484348
3,J0852+0309,1,607530,487,0.008236946741151385,0.03499963087156921,0.03106692946284522
3,J0852+0309,2,579232,348,0.01578440120850111,0.032578072601921804,0.034727396128383346
3,J0852+0309,3,585282,374,0.005298965086470986,0.043816703779945954,0.03688732431748873
3,J0852+0309,4,584724,371,0.018746618198168363,0.03309502352322369,0.037785957654749035
3,J0852+0309,5,600555,449,0.022728096950716647,0.03814074999349337,0.04464376190352949
3,J0852+0309,6,555815,269,0.0293603548773671,0.030826145911390768,0.04817591380557303
3,J0852+0309,7,117257,3,0.04316936917226677,0.012421422248566572,0.061032016378279166
3,J0852+0309,8,574286,329,0.03931591156397474,0.0481798870104857,0.06768850683890662
3,J0852+0309,9,592021,406,0.0038575992554701344,0.09493896873344454,0.07849096269878987
3,J0852+0309,10,473330,108,0.04998196080227757,0.04396257455837649,0.07853322397748644
5,J0914+0836,1,549091,248,0.0021919625750932425,0.08455322341568206,0.06980722488117598
5,J0914+0836,2,622877,579,0.04978003135610187,0.04202745962244414,0.07755728573787433
5,J0914+0836,3,620832,564,0.04085264233009589,0.06521646129957048,0.07832830213677361
5,J0914+0836,4,630155,632,0.00010804812708009592,0.12275400707229345,0.10124884604061364
5,J0914+0836,5,642220,724,0.027401068868115885,0.11595832344906754,0.10298603665703819
5,J0914+0836,6,528837,197,0.06568778543948639,0.060381250445466605,0.10421994566031294
5,J0914+0836,7,623745,586,0.021046883426620866,0.13443755003751967,0.1146997392150224
5,J0914+0836,8,632310,647,0.030129406509505685,0.13245720119971693,0.11704411713336609
10,J0951+3537,1,400974,50,0.010263848672785514,0.01189445731777461,0.01734588619619325
10,J0951+3537,2,507784,157,0.002707180704515366,0.026479551968810355,0.022164107851266955
10,J0951+3537,3,540452,223,0.016478581144195203,0.006089260306632482,0.02350926411250463
10,J0951+3537,4,569251,310,0.0024592129715479416,0.039006675388714385,0.0323551471488549
10,J0951+3537,5,555287,267,0.017792459003990402,0.02673087381107031,0.03318183723851783
10,J0951+3537,6,544408,234,0.014384155503986307,0.05450281353941122,0.049221994591277234
10,J0951+3537,7,563732,292,0.035649548371655015,0.03205945794863929,0.05628385348746996
10,J0951+3537,8,560751,283,0.018183348585044,0.06132261927823279,0.05657320461188472
10,J0951+3537,9,544001,233,0.010243889734420364,0.0684483141960488,0.05823411338834656
10,J0951+3537,10,542252,228,0.0293039974342868,0.05939975982642132,0.06378396618359294
