COS_ID,Galaxy,M_star,M_HI,R_HI,R_vir,rho,phi,inc,SubhaloID1,SubhaloID2,SubhaloID3,SubhaloID4
1,J0159+1346,10.1,9.4,16.2,163,102,64,63,630870,614326,618120,634707
3,J0852+0309,10.3,9.7,22.6,179,178,67,54.3,607530,579232,584724,585282
5,J0914+0836,10,9,10.3,156,180,69,51.3,620832,642220,622877,623745
10,J0951+3537,10.6,9.9,31.2,229,226,3,61.95,569251,540452,555287,542252
11,J0958+3204,10.7,10,31.6,269,162,0,34.5,543729,540920,547293,546474
14,J1032+2112,10.6,9.9,28.3,245,214,45,76.07,563732,544408,544001,560751
15,J1051+1245,10.4,10,33.6,194,140,73,64.5,590218,561325,572121,591469
17,J1100+1210,10.1,8.7,6.6,164,171,61,76.59,625041,611152,621255,605054
19,J1115+0241,10.7,9.8,29.4,284,209,83,83.9,554798,537488,550149,552581
25,J1132+1329,10.2,9.8,25,168,230,5,68.62,600946,605844,610361,611385
26,J1142+3013,10.7,10.3,49.4,287,104,50,88.53,530852,512425,518682,526478
28,J1241+2847,10.3,9.4,16.4,180,198,40,50.74,595100,567897,582809,596660
29,J1251+0551,10.9,10.2,41.5,353,200,57,82.06,494011,491426,492244,253862
32,J1317+2629,10.3,9.8,27.6,176,198,86,49.9,582612,586670,602509,596244
34,J1348+2453,10.1,9.5,17,160,153,81,80.3,615607,600363,619381,627572
36,J1404+3357,10.3,9.5,17.2,181,111,57,70.34,593259,576705,592021,602653
41,J1454+3050,10.1,8.8,7.8,164,223,37,56.93,631677,610819,630155,630975
43,J1509+0704,10.1,9.3,14,166,130,62,63.39,621043,646733,628949,629891
