 COS_ID,Galaxy,M_star,M_HI,R_HI,R_vir,rho,phi,inc
1,J0159+1346,10.1,9.4,16.2,163,102,64,-
3,J0852+0309,10.3,9.7,22.6,179,178,67,-
5,J0914+0836,10,9,10.3,156,180,69,-
10,J0951+3537,10.6,9.9,31.2,229,226,3,61.95
11,J0958+3204,10.7,10,31.6,269,162,0,-
14,J1032+2112,10.6,9.9,28.3,245,214,45,76.07
15,J1051+1245,10.4,10,33.6,194,140,73,64.5
17,J1100+1210,10.1,8.7,6.6,164,171,61,76.59
19,J1115+0241,10.7,9.8,29.4,24,209,83,-
25,J1132+1329,10.2,9.8,25,168,230,5,68.62
26,J1142+3013,10.7,10.3,49.4,287,104,50,88.53
28,J1241+2847,10.3,9.4,16.4,180,198,40,50.74
29,J1251+0551,10.9,10.2,41.5,353,200,57,82.06
32,J1317+2629,10.3,9.8,27.6,176,198,86,49.9
34,J1348+2453,10.1,9.5,17,160,153,81,80.3
36,J1404+3357,10.3,9.5,17.2,181,111,57,70.34
41,J1454+3050,10.1,8.8,7.8,164,223,37,56.93
43,J1509+0704,10.1,9.3,14,166,130,62,63.39
