SubhaloID,Galaxy,COS_ID,h,center_x_ckpch,center_y_ckpch,center_z_ckpch,rhalf_star_ckpch,J_tot_x,J_tot_y,J_tot_z,inc_tot_deg,PA_tot_deg,inc_star_deg,PA_star_deg,PCA_major2D_XY_deg,rho_kpc,phi_deg,inc_used_deg,Rvir_kpc_used,debug_image,orientation_json,error
253862,J1251+0551,29,0.6774,750.3652954101562,6060.60546875,27808.486328125,6.2062835693359375,-714.615478515625,-893.5120849609375,-640.05126953125,60.77645211626009,141.34778538643556,79.14573659938496,143.47665421629023,145.54804240829654,200.0,57.0,82.06,353.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_253862/analysis/debug_sid253862_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_253862/analysis/orientation_sid253862_snap99.json,
491426,J1251+0551,29,0.6774,22695.533203125,15692.9326171875,16728.109375,5.604998588562012,1511.3878173828125,-554.9660034179688,10.905744552612305,89.61191190233679,69.83728613136206,84.31368144867716,112.31624305680548,111.7116548866203,200.0,57.0,82.06,353.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_491426/analysis/debug_sid491426_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_491426/analysis/orientation_sid491426_snap99.json,
492244,J1251+0551,29,0.6774,30980.33203125,12164.3916015625,2006.8275146484375,6.520513534545898,-397.6917724609375,-1308.01220703125,-1578.083251953125,40.903218137331294,163.0884802609352,31.51525534946748,154.16093967073235,127.53932464745084,200.0,57.0,82.06,353.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_492244/analysis/debug_sid492244_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_492244/analysis/orientation_sid492244_snap99.json,
494011,J1251+0551,29,0.6774,20265.08203125,2894.921875,25722.34765625,6.404863357543945,-1508.2347412109375,-2008.7867431640625,545.2478637695312,77.75336351836252,143.1000913508554,51.38799790634367,136.16820406975188,147.07781376728119,200.0,57.0,82.06,353.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_494011/analysis/debug_sid494011_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_494011/analysis/orientation_sid494011_snap99.json,
512425,J1142+3013,26,0.6774,18091.033203125,30121.888671875,12541.6953125,3.700190782546997,-1336.0185546875,-2842.3134765625,528.8052978515625,80.44250288302403,154.82430894297934,79.38934505883081,164.6950706845706,168.32049514247512,104.0,50.0,88.53,287.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_512425/analysis/debug_sid512425_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_512425/analysis/orientation_sid512425_snap99.json,
518682,J1142+3013,26,0.6774,15363.8515625,16983.962890625,3899.87744140625,6.907920837402344,-303.6744384765625,2067.505859375,-50.78831481933594,88.60774315479989,8.355834618753363,84.82968909757452,160.9495302705088,160.71229511428913,104.0,50.0,88.53,287.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_518682/analysis/debug_sid518682_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_518682/analysis/orientation_sid518682_snap99.json,
526478,J1142+3013,26,0.6774,20812.26171875,4480.05517578125,192.53643798828125,5.339717864990234,-1381.79736328125,-1418.880615234375,249.51828002929688,82.81946677787784,135.75859834270221,84.19562091677679,120.14180886219395,125.71443804609436,104.0,50.0,88.53,287.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_526478/analysis/debug_sid526478_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_526478/analysis/orientation_sid526478_snap99.json,
530852,J1142+3013,26,0.6774,27000.046875,21101.2421875,6155.56494140625,4.1185479164123535,813.6109008789062,940.4490356445312,1265.1265869140625,44.50713536423987,139.13592636472745,24.187091319689436,1.5974933948780858,126.72322436851849,104.0,50.0,88.53,287.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_530852/analysis/debug_sid530852_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_530852/analysis/orientation_sid530852_snap99.json,
537488,J1115+0241,19,0.6774,2634.8232421875,13205.75,11968.919921875,2.6101176738739014,841.5028686523438,315.97320556640625,1642.6011962890625,28.688498623938763,110.58049338004786,33.57259790786671,78.38447151978589,129.90059418202281,209.0,83.0,33.57259790786671,24.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_537488/analysis/debug_sid537488_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_537488/analysis/orientation_sid537488_snap99.json,
540452,J0951+3537,10,0.6774,19420.763671875,22009.68359375,25858.466796875,7.4431233406066895,1389.1922607421875,277.484375,60.08988952636719,87.57112018905568,101.29588991959146,82.71047936433581,89.79554918151386,92.82226849353034,226.0,3.0,61.95,229.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_540452/analysis/debug_sid540452_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_540452/analysis/orientation_sid540452_snap99.json,
