COS_ID,Galaxy,inc,SubhaloID
29,J1251+0551,82.06,253862
29,J1251+0551,82.06,491426
29,J1251+0551,82.06,492244
29,J1251+0551,82.06,494011
26,J1142+3013,88.53,512425
26,J1142+3013,88.53,518682
26,J1142+3013,88.53,526478
26,J1142+3013,88.53,530852
10,J0951+3537,61.95,540452
10,J0951+3537,61.95,542252
14,J1032+2112,76.07,544001
14,J1032+2112,76.07,544408
10,J0951+3537,61.95,555287
14,J1032+2112,76.07,560751
15,J1051+1245,64.5,561325
14,J1032+2112,76.07,563732
28,J1241+2847,50.74,567897
10,J0951+3537,61.95,569251
15,J1051+1245,64.5,572121
36,J1404+3357,70.34,576705
32,J1317+2629,49.9,582612
28,J1241+2847,50.74,582809
32,J1317+2629,49.9,586670
15,J1051+1245,64.5,590218
15,J1051+1245,64.5,591469
36,J1404+3357,70.34,592021
36,J1404+3357,70.34,593259
28,J1241+2847,50.74,595100
32,J1317+2629,49.9,596244
28,J1241+2847,50.74,596660
34,J1348+2453,80.3,600363
25,J1132+1329,68.62,600946
32,J1317+2629,49.9,602509
36,J1404+3357,70.34,602653
17,J1100+1210,76.59,605054
25,J1132+1329,68.62,605844
25,J1132+1329,68.62,610361
41,J1454+3050,56.93,610819
17,J1100+1210,76.59,611152
25,J1132+1329,68.62,611385
34,J1348+2453,80.3,615607
34,J1348+2453,80.3,619381
43,J1509+0704,63.39,621043
17,J1100+1210,76.59,621255
17,J1100+1210,76.59,625041
34,J1348+2453,80.3,627572
43,J1509+0704,63.39,628949
43,J1509+0704,63.39,629891
41,J1454+3050,56.93,630155
41,J1454+3050,56.93,630975
41,J1454+3050,56.93,631677
43,J1509+0704,63.39,646733
