COS_ID,Galaxy,inc,SubhaloID
19,J1115+0241,83.9,537488
11,J0958+3204,34.5,540920
11,J0958+3204,34.5,543729
11,J0958+3204,34.5,546474
11,J0958+3204,34.5,547293
19,J1115+0241,83.9,550149
19,J1115+0241,83.9,552581
19,J1115+0241,83.9,554798
3,J0852+0309,54.3,579232
3,J0852+0309,54.3,584724
3,J0852+0309,54.3,585282
3,J0852+0309,54.3,607530
1,J0159+1346,63.0,614326
1,J0159+1346,63.0,618120
5,J0914+0836,51.3,620832
5,J0914+0836,51.3,622877
5,J0914+0836,51.3,623745
1,J0159+1346,63.0,630870
1,J0159+1346,63.0,634707
5,J0914+0836,51.3,642220
